"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","sqft_living15","sqft_lot15","Age","Renovated"
"66",317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1440,4000,99,0
"67",975000,4,2.5,2720,11049,2,0,0,3,10,2720,0,2750,11049,35,0
"68",287000,4,2.5,2240,4648,2,0,0,3,7,2240,0,2221,4557,19,0
"69",204000,3,1,1000,12070,1,0,0,4,7,1000,0,1010,12635,56,0
"70",1325000,5,2.25,3200,20158,1,0,0,3,8,1600,1600,3390,20158,59,0
"71",1040000,5,3.25,4770,50094,1,0,0,4,11,3070,1700,3530,38917,51,0
"72",325000,3,2,1260,5612,1,0,0,4,7,1260,0,1640,4745,52,0
"73",571000,4,2,2750,7807,1.5,0,0,5,7,2250,500,1510,7807,108,0
"74",360000,4,2.5,2380,5000,2,0,0,3,8,2380,0,2420,5000,19,0
"75",349000,3,1.75,1790,50529,1,0,0,5,7,1090,700,1940,50529,59,0
"76",832500,4,4,3430,35102,2,0,0,4,10,2390,1040,3240,35020,38,0
"77",380000,4,1.75,1760,7300,1,0,0,3,7,880,880,1680,7500,68,0
"78",480000,3,1,1040,5060,1,0,0,3,7,1040,0,890,5060,83,0
"79",410000,3,1,1410,5060,1,0,0,4,7,910,500,1130,5693,68,0
"80",720000,4,2.5,3450,39683,2,0,0,3,10,3450,0,3350,39750,22,0
"81",390000,3,2.5,2350,5100,2,0,0,3,8,2350,0,2350,5363,21,0
"82",360000,4,2.5,1900,5889,2,0,0,3,7,1900,0,1870,6405,32,0
"83",355000,2,1,2020,6720,1,0,0,3,7,1010,1010,1720,6720,76,0
"84",356000,3,1.5,1680,8712,1,0,0,3,8,1680,0,1850,8797,60,0
"85",315000,3,1,960,6634,1,0,0,3,6,960,0,1570,7203,72,0
"86",940000,3,1.5,2140,3600,2,0,0,3,9,1900,240,2020,4800,99,0
"87",305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1590,8165,63,0
"88",461000,3,3.25,2770,6278,2,0,0,3,9,1980,790,1900,7349,18,0
"89",215000,2,2.25,1610,2040,2,0,0,4,7,1610,0,1950,2025,45,0
"90",335000,2,1.75,1030,1066,2,0,0,3,7,765,265,1030,1106,18,0
"91",243500,4,2.5,1980,7403,2,0,0,3,7,1980,0,1980,7510,36,0
"92",1099880,5,2.75,3520,6353,2,0,0,4,10,3520,0,2520,6250,23,0
"93",153000,3,1,1200,10500,1,0,0,3,7,1200,0,1350,10500,62,0
"94",430000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1570,4500,85,0
"95",7e+05,3,1.5,1580,5000,1,0,0,3,8,1290,290,1570,4500,85,0
"96",905000,4,2.5,3300,10250,1,0,0,3,7,2390,910,1950,6045,78,1
"97",247500,3,1.75,1960,15681,1,0,0,3,7,1960,0,1750,15616,57,0
"98",199000,4,1.5,1160,6400,1,0,0,4,7,1160,0,1160,6400,49,0
"99",314000,3,1.75,1810,41800,1,0,0,5,7,1210,600,1650,135036,44,0
"100",437500,3,2.5,2320,36847,2,0,2,3,9,2320,0,2550,35065,32,0
"101",850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,2200,4500,114,0
"102",555000,3,2,1980,3478,1.5,0,0,4,7,1440,540,1610,3478,95,0
"103",699950,3,2.25,2190,107593,2,0,0,4,8,2190,0,2570,47777,41,0
"104",1088000,3,2.5,2920,8113,2,0,0,3,8,2920,0,2370,8113,74,1
"105",290000,3,1,1210,33919,1,0,0,3,7,1210,0,1640,14910,70,0
"106",375000,3,2.5,2340,10005,1,0,0,4,8,1460,880,2250,8162,46,0
"107",460000,3,1,1670,4005,1.5,0,0,4,7,1170,500,1240,4005,85,0
"108",188500,2,1.75,1240,2493,1,0,0,4,8,1240,0,1270,4966,39,0
"109",680000,4,2.5,3140,28037,2,0,0,4,10,3140,0,2990,35001,33,0
"110",470000,5,1.75,2030,12342,2,0,0,4,7,2030,0,2500,9433,82,0
"111",597750,4,2.5,2310,9624,2,0,0,3,8,2310,0,1940,9636,40,0
"112",570000,3,1.75,1260,3328,1,0,0,5,6,700,560,1380,3536,119,0
"113",272500,3,1.75,1540,12600,1,0,0,4,7,1160,380,1540,11656,44,0
"114",329950,3,1.75,2080,5969,1,0,2,3,7,1080,1000,2090,5500,53,0
"115",480000,4,2.5,3230,16171,2,0,3,3,9,2520,710,2640,8517,23,0
"116",740500,3,3.5,4380,6350,2,0,0,3,8,2780,1600,1830,6350,124,1
"117",518500,3,3.5,1590,1102,3,0,0,3,8,1590,0,1620,3166,14,0
"118",205425,2,1,880,6780,1,0,0,4,6,880,0,1190,6780,79,0
"119",171800,4,2,1570,9600,1,0,0,3,6,1570,0,1880,9000,74,0
"120",535000,4,1,1610,2982,1.5,0,0,4,7,1610,0,1610,4040,99,0
"121",660000,3,2.5,2400,6474,1,0,2,3,8,1560,840,2340,10856,60,0
"122",391500,3,2,1450,9132,1,0,0,3,7,1450,0,1580,9104,37,0
"123",395000,2,1,770,6000,1,0,0,3,6,770,0,1710,6000,71,0
"124",445000,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1850,4400,100,0
"125",770000,3,2.25,2910,10204,2,0,0,3,9,2910,0,2700,13992,34,0
"126",1450000,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,3060,11275,110,1
"127",445000,3,2.25,2100,8201,1,0,2,3,8,1620,480,2660,8712,57,0
"128",260000,4,2.25,2160,8811,1,0,0,3,8,1360,800,2090,8400,46,0
"129",822500,5,3.5,2320,4960,2,0,0,5,7,1720,600,1700,4960,98,0
"130",430000,4,2.5,2070,4310,2,0,0,3,7,2070,0,1970,3748,20,0
"131",212000,3,1.75,1060,7875,1,0,0,4,7,1060,0,1420,7680,38,0
"132",660500,4,2.25,2010,9603,1,0,0,3,8,1440,570,2060,9793,38,0
"133",784000,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,2480,88500,35,0
"134",453246,3,2.5,2010,2287,2,0,0,3,8,1390,620,1690,1662,10,0
"135",675000,4,3.5,2140,2278,3,0,0,3,9,2140,0,1540,2285,19,0
"136",199000,3,1.75,1320,17390,1,0,0,4,7,1320,0,1550,19265,68,0
"137",220000,4,1.75,2020,7840,1,0,0,3,7,1010,1010,1750,8140,56,0
"138",452000,4,2.25,2590,10002,1,0,0,4,8,1340,1250,1550,10436,56,0
"139",382500,2,1,1190,4440,1,0,0,3,6,1190,0,1060,5715,43,0
"140",519950,3,2.25,1170,1249,3,0,0,3,8,1170,0,1350,1310,10,0
"141",665000,2,1,1110,3200,1,0,0,3,7,1110,0,1170,3600,99,0
"142",527700,5,2.5,2820,9375,1,0,0,4,8,1550,1270,2820,9375,56,0
"143",205000,3,1,1610,8579,1,0,0,4,7,1010,600,1610,8579,62,0
"144",420000,3,1,1060,8097,1,0,0,4,7,940,120,1560,7940,101,0
"145",5e+05,4,2.25,2030,8517,1,0,0,4,8,1380,650,2230,8824,63,0
"146",921500,4,2.5,3670,315374,2,0,0,4,9,3670,0,2840,87991,30,0
"147",890000,4,1,2550,4000,2,0,0,3,8,2370,180,2200,4000,119,0
"148",430000,2,2.5,2420,60984,2,0,0,3,7,2420,0,1940,193842,17,0
"149",258000,5,2,2260,12500,1,0,0,4,8,1130,1130,1360,18000,64,0
"150",511000,3,1,1430,3455,1,0,0,3,7,980,450,1450,4599,77,0
"151",532170,3,2,1360,3090,2,0,0,3,8,1360,0,1500,3090,34,0
"152",560000,3,1,1110,5000,1.5,0,0,3,7,1110,0,1420,5000,77,0
"153",282950,3,1,1250,8200,1,0,0,4,7,1250,0,1680,8633,70,0
"154",2250000,4,3.25,5180,19850,2,0,3,3,12,3540,1640,3160,9750,18,0
"155",350000,1,1,700,5100,1,0,0,3,7,700,0,1010,5100,82,0
"156",215000,3,1,1180,7669,1,0,0,4,7,1180,0,1190,7669,57,0
"157",650000,5,3.5,3960,25245,2,0,0,3,9,2500,1460,2640,13675,28,0
"158",320000,4,2.75,2640,7500,1,0,0,3,8,1620,1020,1980,7875,57,0
"159",247000,3,2,1270,7198,1.5,0,0,3,7,1270,0,1160,7198,108,1
"160",320000,4,1.75,1760,11180,1,0,0,4,8,1760,0,1730,11180,56,0
"161",255000,5,2.25,2060,8632,1,0,0,3,7,1030,1030,1010,11680,62,0
"162",438000,3,1.75,1780,9660,1,0,0,3,7,1780,0,1200,9660,62,0
"163",9e+05,3,2.5,3400,16603,2,0,0,3,10,3400,0,3400,12601,24,0
"164",441000,3,2.75,1910,7280,1,0,0,3,7,1160,750,1710,8152,45,0
"165",420000,3,2,2020,38332,1,0,0,4,7,1010,1010,2110,36590,49,0
"166",370000,3,1.75,1580,7000,1,0,0,3,7,1180,400,1640,7500,48,0
"167",269950,2,1.75,1340,7250,1,0,0,5,5,700,640,1830,9750,75,0
"168",807100,4,2.5,2680,4499,2,0,0,3,9,2680,0,2920,4500,25,0
"169",653000,3,2.5,2680,9750,1,0,0,4,8,1610,1070,2480,8750,45,0
"170",371500,3,2,1370,8336,1,0,0,5,7,1370,0,1770,7288,60,0
"171",284000,3,1.75,1560,21000,1,0,0,3,7,1560,0,1070,7920,70,0
"172",272000,3,1.75,2160,7140,1,0,0,4,7,1670,490,1930,7350,46,0
"173",313000,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1480,7940,69,0
"174",917500,4,2.5,3880,35003,2,0,0,3,10,2570,1310,3740,35230,40,0
"175",673000,4,2.25,2590,8190,2,0,0,4,8,2590,0,2260,8335,44,0
"176",425000,3,2.5,1120,1100,2,0,0,3,8,820,300,1590,1795,16,0
"177",399950,5,2.75,1970,5400,1,0,0,3,7,1320,650,1280,2150,38,0
"178",385000,3,1,1220,4800,1,0,0,3,6,1220,0,1200,4800,123,0
"179",269950,3,1.5,1950,7560,1,0,2,4,7,1320,630,1950,8941,49,0
"180",330000,2,1,1350,8220,1,0,0,3,7,1060,290,1540,8280,75,0
"181",260000,3,2.5,1670,5797,2,0,0,3,7,1670,0,1670,6183,36,0
"182",470000,4,3,2380,5125,1.5,0,0,4,7,1680,700,1410,5375,99,0
"183",589000,4,3,2440,9600,2,0,0,5,7,2440,0,2290,9600,63,0
"184",163500,2,1.5,1050,3419,2,0,0,3,7,1050,0,1050,3417,28,0
"185",835000,4,2.75,3130,13412,2,0,0,3,9,2140,990,2260,9984,31,0
"186",1095000,5,3,4090,12850,1,0,2,4,10,2090,2000,2540,10270,38,0
"187",269000,4,1.75,1490,10000,1,0,0,4,8,1100,390,2190,8910,55,0
"188",560000,3,2.5,1900,8744,2,0,0,3,8,1900,0,2030,8744,37,0
"189",615000,4,1,1330,2400,1.5,0,0,4,6,1330,0,1330,4400,123,0
"190",585188,3,2.25,2230,10026,1,0,0,3,8,1430,800,2230,9340,49,0
"191",305000,3,1.75,1650,9480,1,0,0,3,7,1220,430,1540,8400,47,0
"192",166950,3,1,1190,8820,1,0,0,3,6,1190,0,1230,7980,65,0
"193",799000,3,2.5,2140,9897,1,0,0,4,8,2140,0,2680,10083,65,0
"194",4e+05,3,2.5,2180,7508,1,0,0,4,7,1420,760,1900,7818,62,0
"195",230000,3,1,1060,10228,1,0,0,3,7,1060,0,1570,10228,76,0
"196",256883,3,2.5,1690,5025,2,0,0,3,8,1690,0,2550,5001,21,0
"197",423000,4,2,1970,6480,1.5,0,0,5,7,1130,840,1500,6480,104,0
"198",465000,3,2.5,2150,4084,2,0,0,3,8,2150,0,1750,2385,17,0
"199",440000,3,2.5,1910,66211,2,0,0,3,7,1910,0,2330,67268,27,0
"200",385000,3,1.75,1350,155073,1,0,0,4,7,1350,0,1560,50965,55,0
"201",210000,3,1,860,11725,1,0,0,4,6,860,0,1300,9514,81,0
"202",297000,3,2.5,1940,14952,2,0,0,3,8,1940,0,2030,10450,30,0
"203",470000,3,1,1010,5000,1,0,0,3,7,1010,0,1680,5000,72,0
"204",226500,3,1.5,1300,7370,1,0,0,4,7,900,400,1430,7500,48,0
"205",274250,3,1,910,8450,1,0,0,4,6,910,0,1400,8040,62,0
"206",840000,4,1.75,2480,11010,1,0,0,4,9,1630,850,2770,10744,58,0
"207",677900,3,2.5,2440,4587,2,0,0,3,8,2440,0,2750,4587,14,0
"208",425000,3,1,1010,5864,1,0,0,3,7,1010,0,1290,5000,109,0
"209",180250,2,0.75,900,9600,1,0,0,3,6,900,0,1250,14280,83,0
"210",464000,6,3,2300,3404,2,0,0,3,7,1600,700,1560,1312,104,1
"211",320000,4,2.25,1550,7579,2,0,0,3,8,1550,0,1630,6397,31,0
"212",625504,3,2.25,1270,1566,2,0,0,3,8,1060,210,1160,1327,10,0
"213",592500,4,2.5,2240,12032,1,0,0,3,9,2240,0,2520,12368,41,0
"214",465000,3,2.5,2714,17936,2,0,0,3,9,2714,0,2590,18386,19,0
"215",477000,4,2.75,1720,6270,2,0,0,3,8,1720,0,2130,8700,46,0
"216",280000,2,1,850,16400,1,0,0,3,6,850,0,1100,14459,101,0
"217",1505000,5,3,3300,33474,1,0,3,3,9,1870,1430,3836,20953,67,1
"218",445838,3,2.5,2250,5692,2,0,0,3,8,2250,0,1320,5390,24,0
"219",1072000,2,2.25,3900,14864,1,0,3,3,8,1950,1950,2580,5184,77,0
"220",467000,2,1.5,1320,10800,1,0,0,4,8,1320,0,2120,12040,77,0
"221",686000,4,2.5,2760,6440,2,0,0,3,10,2760,0,3070,8127,25,0
"222",279950,3,2,1750,9750,1,0,0,3,7,1350,400,1900,10125,63,0
"223",527000,4,2.25,2330,19436,2,0,0,3,8,2330,0,1910,10055,37,0
"224",325000,3,2.25,2220,16020,1,0,0,4,8,1780,440,2080,9583,58,0
"225",328000,3,2.25,2020,8379,2,0,0,3,7,2020,0,2020,8031,30,0
"226",390000,3,2.25,1250,7500,1,0,0,5,7,1250,0,1280,7392,82,0
"227",479950,2,2,1510,6516,1,0,0,3,8,1510,0,1640,6009,19,0
"228",264950,4,2.25,1720,9753,1,0,0,4,7,1120,600,1510,9753,46,0
"229",235000,3,1,1430,15246,1,0,0,4,7,980,450,1960,13068,63,0
"230",516500,3,2.5,1480,4729,2,0,0,3,7,1480,0,2250,4729,20,0
"231",655000,2,1.75,1450,15798,2,1,4,3,7,1230,220,2030,13193,109,1
"232",5e+05,4,2.75,2280,15347,1,0,0,5,7,2280,0,2280,15347,64,0
"233",315000,6,2.75,2940,7350,1,0,0,3,8,1780,1160,2120,8236,46,0
"234",213000,2,1,1000,10200,1,0,0,3,6,1000,0,1150,13702,63,0
"235",475000,3,1.5,2480,5280,1.5,0,0,5,7,1620,860,2090,4800,77,0
"236",1025000,5,4,3760,28040,2,0,0,3,10,3760,0,3430,35096,41,0
"237",416000,3,2,2220,94300,1,0,0,5,7,1640,580,2070,80100,48,0
"238",410000,4,1,1970,4740,1.5,0,0,3,7,1670,300,1510,4740,120,1
"239",8e+05,3,3.5,3830,221284,2,0,0,3,10,3530,300,2920,148539,31,0
"240",472000,6,2.5,4410,14034,1,0,2,4,9,2350,2060,2600,13988,59,0
"241",225000,3,1.75,1430,8505,1,0,0,4,7,1430,0,1190,8640,56,0
"242",210000,2,1,830,6000,1,0,0,3,6,830,0,830,4960,84,0
"243",455000,2,1,1430,5000,1.5,0,0,2,7,1430,0,1450,3750,99,0
"244",225000,3,1,1300,8316,1,0,0,4,6,1300,0,1260,8316,70,0
"245",480000,2,1,1030,3060,1,0,2,4,7,790,240,1390,3060,106,0
"246",363000,3,2.5,2740,11872,2,0,0,3,9,2740,0,2570,10377,34,0
"247",2400000,4,2.5,3650,8354,1,1,4,3,9,1830,1820,3120,18841,24,0
"248",181000,2,1.5,720,5120,1,0,0,3,6,720,0,1150,2566,70,0
"249",250000,4,2,2010,7312,1,0,0,4,7,2010,0,2010,7650,48,0
"250",481000,3,1.75,1560,3000,1,0,0,4,6,770,790,1390,3000,106,0
"251",260000,3,2,1810,7209,1,0,0,4,7,1240,570,1750,7209,46,0
"252",455000,4,2.5,3360,7685,2,0,0,3,9,3360,0,3060,6567,23,0
"253",415000,3,2.25,1510,36224,2,0,0,3,8,1510,0,1730,36224,33,0
"254",349500,3,1,1400,3538,1,0,0,3,7,800,600,1620,6331,71,0
"255",245000,3,2.5,1730,7442,2,0,0,3,7,1730,0,1630,6458,37,0
"256",592500,2,2,1420,9191,1.5,0,2,5,7,1420,0,1420,6816,96,0
"257",385000,4,1.75,2360,7620,1,0,0,4,7,1180,1180,1910,7620,69,0
"258",315000,3,1.75,1580,11455,1,0,0,4,7,1200,380,1550,10650,50,0
"259",255000,3,1,1230,10170,1,0,0,3,7,1230,0,1380,10098,45,0
"260",693000,4,2.5,2460,4425,2,0,0,3,8,2460,0,2990,5659,18,0
"261",780000,3,1,1660,4400,1.5,0,0,3,8,1460,200,1660,4400,113,0
"262",237000,3,1.75,1270,8470,1,0,0,4,7,1270,0,1600,8470,64,0
"263",525000,3,2.25,2100,40510,2,0,0,3,10,1320,780,2380,33450,45,0
"264",425000,2,1,770,5040,1,0,0,3,5,770,0,1330,2580,94,0
"265",369900,1,0.75,760,10079,1,1,4,5,5,760,0,1230,14267,88,0
"266",290000,4,2.5,1700,7280,2,0,0,4,7,1700,0,1950,7475,36,0
"267",285000,3,1,1120,10701,1,0,0,3,7,1120,0,1130,6350,70,0
"268",415000,2,1,1070,4500,1,0,0,3,7,1070,0,1320,4465,87,0
"269",272500,3,2.5,2070,9900,1,0,0,3,8,1420,650,2070,8250,45,0
"270",2900000,4,3.25,5050,20100,1.5,0,2,3,11,4750,300,3890,20060,42,1
"271",1365000,4,4.75,5310,57346,2,0,0,4,11,5310,0,4180,47443,35,0
"272",436000,2,1,1040,7538,1,0,0,4,7,1040,0,1440,7530,85,0
"273",210000,3,1,1700,11390,1,0,0,4,7,1700,0,1350,8164,57,0
"274",236000,3,1,1300,5898,1,0,0,3,7,1300,0,1320,7619,63,0
"275",331000,3,1.75,1080,1306,1,0,0,3,7,580,500,1440,2225,70,1
"276",365000,3,2.5,2653,4510,2,0,0,3,8,2653,0,2653,4927,18,0
"277",450000,3,2,2290,16258,1,0,0,5,8,2290,0,1660,10530,64,0
"278",770000,4,2.75,3820,26300,2,0,0,3,9,2850,970,1860,12136,10,0
"279",455000,4,2.5,2210,49375,1,0,0,3,8,2210,0,2670,49385,27,0
"280",405000,3,1.75,2390,6000,1,0,0,3,6,1240,1150,2020,6000,116,0
"281",304900,4,1.75,2600,11325,1,0,0,4,7,1610,990,1720,11088,55,0
"282",170000,2,1,860,5265,1,0,0,3,6,860,0,1650,8775,93,0
"283",2050000,5,3,3830,8480,2,0,1,5,9,2630,1200,3050,7556,119,1
"284",780000,4,2.5,3500,7048,2,0,0,3,9,3500,0,3920,7864,19,0
"285",330000,3,3,2420,13959,1,0,0,4,8,1740,680,2570,13300,36,0
"286",370000,4,2.5,2720,8666,2,0,0,3,9,2720,0,2410,8100,32,0
"287",467000,5,2.25,2500,13500,1,0,0,3,7,1850,650,2300,9750,45,0
"288",405000,3,1.75,1670,6720,1,0,0,3,7,1140,530,1670,7320,44,0
"289",675000,5,2.25,2900,10300,1,0,0,3,8,1450,1450,2310,10300,39,0
"290",5e+05,2,1,1640,14100,1,0,0,4,7,1140,500,1520,13527,70,0
"291",389999,4,2.5,1890,15770,2,0,0,4,7,1890,0,2410,15256,56,0
"292",630000,4,1.75,2950,9025,1,0,2,4,8,1780,1170,2120,9600,49,0
"293",360000,4,2.5,2160,9528,2,0,0,3,9,2160,0,2280,9937,32,0
"294",580000,4,3,3280,11060,2,0,0,3,8,2270,1010,2320,11004,38,0
"295",550000,3,2,1970,4166,2,0,3,5,8,1270,700,2390,4166,95,0
"296",879000,4,2.5,3360,22111,2,0,0,3,10,3360,0,3150,11374,30,0
"297",265000,3,2,1320,8959,1,0,0,3,7,1320,0,1740,7316,31,0
"298",446500,3,2.5,2650,7286,2,0,0,3,8,2650,0,2400,7220,34,0
"299",404000,3,1.5,2030,8880,1,0,0,3,7,1330,700,2140,5592,61,0
"300",267500,3,1.75,1590,11914,1,0,2,3,7,1090,500,1630,9052,67,0
"301",3075000,4,5,4550,18641,1,1,4,3,10,2600,1950,4550,19508,22,0
"302",335000,3,2.5,2440,7632,2,0,0,3,8,2440,0,2510,7903,26,0
"303",576000,3,2.5,1940,9000,1,0,0,4,7,970,970,2190,7310,76,0
"304",208633,3,2.5,2040,3810,2,0,0,3,8,2040,0,2370,4590,18,0
"305",315000,3,2.25,2200,8750,1,0,0,4,7,1120,1080,1460,10139,60,0
"306",725000,3,1.75,1920,3300,1,0,0,4,8,960,960,1740,4000,111,0
"307",550000,4,2.75,1800,7750,1,0,0,4,8,1400,400,1800,8275,59,0
"308",610750,4,2.25,2180,7297,2,0,0,3,8,2180,0,2250,9781,40,0
"309",550700,2,1,1010,5000,1.5,0,0,4,6,1010,0,1460,5000,116,0
"310",665000,4,2.75,3320,10574,2,0,0,5,8,2220,1100,2720,8330,64,0
"311",834000,4,2.5,2370,4000,1.5,0,2,5,8,1980,390,2440,5750,96,0
"312",201000,5,1.75,1660,78408,1.5,0,0,3,6,1660,0,1660,78408,109,0
"313",2384000,5,2.5,3650,9050,2,0,4,5,10,3370,280,2880,5400,103,0
"314",1384000,4,3.25,4290,12103,1,0,3,3,11,2690,1600,3860,11244,27,0
"315",1400000,4,3.25,4290,12103,1,0,3,3,11,2690,1600,3860,11244,27,0
"316",305000,4,2.25,1950,7700,1,0,0,3,8,1350,600,2150,7350,45,0
"317",487000,3,2,2590,14052,1,0,0,5,8,1720,870,1570,8162,76,0
"318",390000,3,2.5,1930,64904,1,0,0,4,8,1930,0,2350,57500,36,0
"319",548000,2,1,1470,3864,1,0,0,4,7,1170,300,1570,3864,108,0
"320",268750,4,1,800,8775,1,0,0,3,6,800,0,1310,8775,81,0
"321",819900,5,2.75,3150,7119,2,0,0,3,9,3150,0,1560,8384,11,0
"322",520000,3,2.25,2030,16200,2,0,0,3,8,2030,0,2660,17958,40,0
"323",230000,3,2,1450,11204,1,0,0,3,7,1450,0,1520,9518,21,0
"324",240000,3,1.75,1510,10248,1,0,0,3,7,1510,0,1510,9753,55,0
